customer_id,customer_name,customer_address,city,country,state,zipcode,region,social_media_id,customer_email,customer_number,is_friends_with
GP-14740,Guy Phonely,3763 Kaylie Crossroad Apt. 959,Leominster,United States,Massachusetts,1453,East,7219459761,beier.myrna@yahoo.com,147-666-9935,1644484086|4792885874|9970980804|4368888161|4426157600|9561112861|1690530578|8620873948|7580178006|1949858892
SS-20875,Sung Shariari,370 Abraham Park Apt. 651,Leominster,United States,Massachusetts,1453,East,7693376749,swaniawski.josianne@yahoo.com,421-903-1369,1929935441|1263484572|7051988981|5279412192|4499048422|5475515662|5621851675|4658569457|2523508899|7674391121
PO-18865,Patrick O'Donnell,1821 Cullen Prairie Suite 499,Marlborough,United States,Massachusetts,1752,East,3611262895,kadin94@runolfsson.com,311-922-6338,7613548789|7771521211|4943193145|4129106176|7900216318|7040743716|3736904542|3778261823|7731056831|6883154507
PS-18760,Pamela Stobb,555 Merle Village Apt. 184,Andover,United States,Massachusetts,1810,East,8389103136,loraine87@lynch.com,632-833-1055,1811663983|8127344107|9695166342|7225600745|4469682125|4497433413|3320874364|8900125358|7840730681|3839988266
MP-17965,Michael Paige,464 Addie Ramp Apt. 701,Lawrence,United States,Massachusetts,1841,East,3153393511,kris.chaim@yahoo.com,185-916-9796,6874904391|2613065667|5682513087|5475958016|1559785072|9795666253|9386877523|6281485564|6125638915|8483076190
BD-11605,Brian Dahlen,17430 Becker Trail,Lawrence,United States,Massachusetts,1841,East,5323298732,wilkinson.lorine@lind.info,328-853-6457,7465025587|8569956843|8148484115|4683482075|8376926068|2349250706|6936329313|3694152923|4324087199|5497167250
FM-14380,Fred McMath,4036 Maudie Knolls,Lawrence,United States,Massachusetts,1841,East,3309484854,sophia.farrell@hotmail.com,990-185-1376,5222485720|5082497521|9565653394|3196048801|3991745536|6758953425|3188322987|1587036414|5744552666|4773040445
GZ-14545,George Zrebassa,3065 Stokes Flats,Lawrence,United States,Massachusetts,1841,East,8196750550,lhaag@yahoo.com,534-185-1042,5727795610|1177925204|8148484115|2841523341|2511441229|6446181430|8393309121|8617138091|9479019234|8172875018
JB-15400,Jennifer Braxton,260 Stracke Ports Suite 010,Lawrence,United States,Massachusetts,1841,East,1789459856,israel56@stokes.biz,173-638-2685,7100054779|1766143321|8182866178|3495353624|3457691708|1155475341|3016146543|2961612124|6952469267|2751085799
AR-10345,Alex Russell,62721 Zieme Harbor,Lawrence,United States,Massachusetts,1841,East,1476178103,dweber@hotmail.com,820-521-8894,9762033036|8048093298|3226652286|4499048422|3532305793|1843753257|7761856435|1416063867|3681231833|4059107803
SC-20260,Scott Cohen,7100 Eleanore Springs,Lawrence,United States,Massachusetts,1841,East,2617663185,tyson.medhurst@dickinson.info,808-638-8997,4849732404|4878028468|2525419911|4130749007|7017113113|1214943844|2024520525|6405009296|7704957599|7556494096
BP-11095,Bart Pistole,5875 Amos Shoal Apt. 754,Lawrence,United States,Massachusetts,1841,East,5726449606,morris.block@gmail.com,390-601-5028,5566411511|7225600745|9613221728|3554883814|6845572251|6401773791|8026063423|6181001118|4477231777|7179856913
FG-14260,Frank Gastineau,289 Jordon Villages Suite 564,Lawrence,United States,Massachusetts,1841,East,3857752606,hoppe.gilbert@mann.com,258-192-1184,3587555408|1589611925|5341556679|3600091957|5638065068|6974730488|3723573193|8750008766|5511950765|6840977589
DO-13645,Doug O'Connell,3770 Maud Highway Apt. 534,Lawrence,United States,Massachusetts,1841,East,4594655975,ondricka.marvin@smith.com,853-677-1931,8592659392|1367638825|1582885933|2565075852|5247961566|2013768191|4632399196|3849012774|5498088502|8527499590
CT-11995,Carol Triggs,6565 Derek Manors,Lawrence,United States,Massachusetts,1841,East,9613221728,vrunolfsdottir@adams.com,961-423-4540,3976684762|2813870059|2467905088|6241398959|9059183701|3549092870|9031884826|4704284998|6767951023|6845802006
DB-13405,Denny Blanton,115 Bogan Green,Lawrence,United States,Massachusetts,1841,East,4467574395,kirlin.rory@yahoo.com,313-934-9539,1476178103|5448603748|2719041347|6162031301|1178492299|9086111711|9058850683|8010568757|9871652743|8587982671
BF-11170,Ben Ferrer,9069 Mueller Fords Apt. 329,Lawrence,United States,Massachusetts,1841,East,1922516361,ratke.aubrey@hagenes.com,142-405-7742,6724158311|7226107721|5521136195|4608080658|3194998128|5804704540|4745286857|1664838574|5026352132|1586900712
AG-10270,Alejandro Grove,7918 Wisozk Plaza,Lawrence,United States,Massachusetts,1841,East,7225600745,twatsica@gmail.com,598-936-6738,5700598366|3476750506|9571285084|8757345541|1275135072|4689494495|2301801178|9087251737|6090559268|8463859042
