row_id,order_id,order_date,customer_id,customer_name,customer_address,City,Country,State,zipcode,region,product_id,product_name,unit_prirce,quantity,total_sale
1,CA-2013-152156-72559,2013-11-09,CG-12520,Claire Gute,45896 Greenholt Stream Apt. 059,Henderson,United States,Kentucky,42420,South,FUR-BO-10001798,Bush Somerset Collection Bookcase,261.96,2,523.92
2,CA-2013-152156-42904,2013-11-10,CG-12520,Claire Gute,45896 Greenholt Stream Apt. 059,Henderson,United States,Kentucky,42420,South,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,2195.82
3,CA-2013-138688-22411,2013-11-11,DV-13045,Darrin Van Huff,775 Lucinda Point Suite 568,Los Angeles,United States,California,90036,West,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,29.24
4,US-2012-108966-53100,2013-11-12,SO-20335,Sean O'Donnell,805 Botsford Points,Fort Lauderdale,United States,Florida,33311,South,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,4787.8875
5,US-2012-108966-11875,2013-11-13,SO-20335,Sean O'Donnell,805 Botsford Points,Fort Lauderdale,United States,Florida,33311,South,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,22.368,2,44.736
6,CA-2011-115812-26440,2013-11-14,BH-11710,Brosina Hoffman,6206 Earnest Isle,Los Angeles,United States,California,90032,West,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,342.02
7,CA-2011-115812-23267,2013-11-15,BH-11710,Brosina Hoffman,6206 Earnest Isle,Los Angeles,United States,California,90032,West,OFF-AR-10002833,Newell 322,7.28,4,29.12
8,CA-2011-115812-75752,2013-11-16,BH-11710,Brosina Hoffman,6206 Earnest Isle,Los Angeles,United States,California,90032,West,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,907.152,6,5442.912
9,CA-2011-115812-36172,2013-11-17,BH-11710,Brosina Hoffman,6206 Earnest Isle,Los Angeles,United States,California,90032,West,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,55.512
10,CA-2011-115812-38892,2013-11-18,BH-11710,Brosina Hoffman,6206 Earnest Isle,Los Angeles,United States,California,90032,West,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,574.5
11,CA-2011-115812-75276,2013-11-19,BH-11710,Brosina Hoffman,6206 Earnest Isle,Los Angeles,United States,California,90032,West,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,1706.184,9,15355.656
12,CA-2011-115812-45944,2013-11-20,BH-11710,Brosina Hoffman,6206 Earnest Isle,Los Angeles,United States,California,90032,West,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,911.424,4,3645.696
13,CA-2014-114412-91042,2013-11-21,AA-10480,Andrew Allen,524 Yazmin Prairie,Concord,United States,North Carolina,28027,South,OFF-PA-10002365,Xerox 1967,15.552,3,46.656
14,CA-2013-161389-29551,2013-11-22,IM-15070,Irene Maddox,96332 Kevon Bridge Suite 018,Seattle,United States,Washington,98103,West,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,1223.928
15,US-2012-118983-80331,2013-11-23,HP-14815,Harold Pawlan,713 Larson Key,Fort Worth,United States,Texas,76106,Central,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,344.05
16,US-2012-118983-72994,2013-11-24,HP-14815,Harold Pawlan,713 Larson Key,Fort Worth,United States,Texas,76106,Central,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,7.632
17,CA-2011-105893-67320,2013-11-25,PK-19075,Pete Kriz,63173 Geovanni Well,Madison,United States,Wisconsin,53711,Central,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,3995.28
18,CA-2011-167164-30356,2013-11-26,AG-10270,Alejandro Grove,7918 Wisozk Plaza,West Jordan,United States,Utah,84084,West,OFF-ST-10000107,Fellowes Super Stor/Drawer,55.5,2,111
19,CA-2011-143336-14411,2013-11-27,ZD-21925,Zuschuss Donatelli,6706 Jaida Club Apt. 116,San Francisco,United States,California,94109,West,OFF-AR-10003056,Newell 341,8.56,2,17.12
20,CA-2011-143336-58697,2013-11-28,ZD-21925,Zuschuss Donatelli,6706 Jaida Club Apt. 116,San Francisco,United States,California,94109,West,TEC-PH-10001949,Cisco SPA 501G IP Phone,213.48,3,640.44
21,CA-2011-143336-44002,2013-11-29,ZD-21925,Zuschuss Donatelli,6706 Jaida Club Apt. 116,San Francisco,United States,California,94109,West,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,90.88
22,CA-2013-137330-49231,2013-11-30,KB-16585,Ken Black,236 Elenor Prairie,Fremont,United States,Nebraska,68025,Central,OFF-AR-10000246,Newell 318,19.46,7,136.22
23,CA-2013-137330-60798,2013-12-01,KB-16585,Ken Black,236 Elenor Prairie,Fremont,United States,Nebraska,68025,Central,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,422.38
24,US-2014-156909-35209,2013-12-02,SF-20065,Sandra Flanagan,14293 Huels Glen,Philadelphia,United States,Pennsylvania,19140,East,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",71.372,2,142.744
25,CA-2012-106320-66485,2013-12-03,EB-13870,Emily Burns,2428 Kreiger Landing,Orem,United States,Utah,84057,West,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,3133.89
26,CA-2013-121755-38221,2013-12-04,EH-13945,Eric Hoffmann,3233 Weimann Radial Suite 946,Los Angeles,United States,California,90049,West,OFF-BI-10001634,Wilson Jones Active Use Binders,11.648,2,23.296
27,CA-2013-121755-40906,2013-12-05,EH-13945,Eric Hoffmann,3233 Weimann Radial Suite 946,Los Angeles,United States,California,90049,West,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,271.71
28,US-2012-150630-16119,2013-12-06,TB-21520,Tracy Blumstein,749 Mallie Crossing Suite 980,Philadelphia,United States,Pennsylvania,19140,East,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,21584.01
29,US-2012-150630-82256,2013-12-07,TB-21520,Tracy Blumstein,749 Mallie Crossing Suite 980,Philadelphia,United States,Pennsylvania,19140,East,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,19.236
